Name,Rating,Reviews,Info,Address,Price,Phone,Services
7th Heaven Silchar,3.5,372,Veg-only,"Ground Floor, Grand Tower, Jail Rd, Ambicapatty, Silchar, Assam 788004",₹200–400,Not found,Not found
KFC,4.2,411,Fried chicken restaurant chain,"Ground Floor, Ananta Plaza, NS Ave, Rangirkhari, Ambicapatty, Silchar, Kanakpur Part-II, Assam 788005",₹200–400,Not found,Not found
Gomoti Restaurant,3.4,180,Delivery,"Gopalganj, Kanakpur, Silchar, Assam 788001",₹200–400,Not found,Not found
"The Chocolate Room, Silchar",4.1,145,No-contact delivery,"Goldhigi Shopping Mall, T-39(A/2), 3rd Floor, Food Court, Central Rd, Silchar, Assam 788001",₹200–400,Not found,Not found
BABUMOSHAI RESTAURANT,2.2,25,Takeaway,"Goldhigi Shopping Mall, Janiganj Bazar, Kanakpur, Silchar, Assam 788001",₹1–200,Not found,Not found
Gabbar The Hungers Point / ultimate momos ultimate taste,4.6,110,"""The ambiance and theme of this cozy restaurant is very impressive!""","GC College Rd, Ambicapatty, Silchar, Kanakpur Part-II, Assam 788004",₹200–400,Not found,Not found
Eden Royals- A foodcity,4.7,169,No-contact delivery,"First Floor, Landmark :, Shyamal's Paradise, Shillong Patty, near to Women's College, Nazirpatty, Ambicapatty, Silchar, Assam 788001",₹200–400,Not found,Not found
Karim's - Original From Jama Masjid Delhi - 6,3.8,568,No-contact delivery,"First Floor, Landmark :, Shyamal's Paradise, Shillong Patty, near to Women's College, Nazirpatty, Ambicapatty, Silchar, Assam 788001",₹200–400,Not found,Not found
"Shree Nawab Restaurant, Club Road",4.4,0,Traditional fare in an informal venue,"Ellora Hotel Complex, Club Rd, near Hiranmoyee Lodge, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Dusri Biwi,4.3,12,No-contact delivery,"Dusri Biwi, Near BN Mazumdar jwellers, NS Ave, opposite Delhi Aluminium House, Silchar, Assam 788005",₹1–200,Not found,Not found
Hotel JC International,3.8,60,"""Breakfast was complimentary and it was decent.""","College Road, near UCO Bank, Ambicapatty, Uttar Krishnapur Part-I, Silchar, Assam 788004",₹200–400,Not found,Not found
EXIM Fast Food,3.3,9,"""Loved the food and the ambience.""","College Road, Subhash Nagar Point, Silchar, Assam 788001",₹200–400,Not found,Not found
Restaurant Mannaz,3.2,97,Delivery,"Club Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
BMC - Barbeque Meat Corner,3.9,26,Takeaway,"Church Road, UK Datta Sarani, Point, Silchar, Assam 788004",₹200–400,Not found,Not found
Yo Momo,3.9,609,Delivery,"Chowringhee, Ambicapatty, Silchar, Assam 788004",₹200–400,Not found,Not found
Madhav Bhojanalaya,4.2,9,Veg-only,"Chowrangee Point, Ambicapatty, Silchar, Assam 788004",₹200–400,Not found,Not found
Hotel Centre Palace,3.6,638,"""They are having a bar also.""","Central Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Blue Orchid Restobar,3.7,475,No-contact delivery,"Central Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Khan Restaurant Silchar,3.9,349,Delivery,"Central Rd, Tarapur, Silchar, Assam 788001",₹200–400,Not found,Not found
Anu's Fast Food,3.9,36,Drive-through,"Central Rd, Rangirkhari, Ambicapatty, Silchar, Kanakpur Part-II, Assam 788005",₹1–200,Not found,Not found
Cafe 21 Restaurant,4.6,431,No-contact delivery,"Central Rd, Gandhi Bagh, Ambicapatty, Silchar, Assam 788001",₹200–400,Not found,Not found
